timestamp,action,reward,done,background,block_loss,blockiness,blur,contrast,cpu_usage,current_bitrate,enc_quality,exposure,latency,max_bitrate,noise,packet_loss,ram_usage,spatial_activity,temporal_activity,throughput
2024-07-15 19:35:39,0,14.58,False,5000,6.81,0.91,3.03,34.44,65.5,27.04,10,108.6,1013.35,0.0,0.49,100.0,0.22,31.01,46.74,1.18
2024-07-15 19:35:49,2,11.379999999999999,False,1000,8.41,0.91,3.13,30.56,63,7.17,20,113.68,0.27,7.0,0.49,10.0,0.22,24.08,42.47,13.58
2024-07-15 19:35:59,2,16.96,False,1000,4.22,0.77,3.43,45.11,68,6.98,21,149.35,0.27,7.0,0.46,5.0,0.22,26.52,64.28,33.69
2024-07-15 19:36:15,0,-27.299999999999997,False,1000,21.9,0.65,4.91,55.49,63.5,24.18,13,127.73,974.45,25.0,0.38,100.0,0.22,34.84,77.36,11.16
2024-07-15 19:36:26,2,14.239999999999998,False,5000,0.73,0.57,6.63,51.39,63,6.67,17,111.77,0.25,7.0,0.38,17.5,0.22,19.32,69.21,17.52
2024-07-15 19:36:38,1,19.04,False,1000,0.68,0.77,5.18,44.14,59.3,20.45,8,102.3,0.22,15.0,0.4,70.0,0.22,21.91,59.89,26.46
2024-07-15 19:36:53,0,9.46,False,1000,8.87,0.86,2.67,46.82,88.9,26.51,10,125.45,1045.5,25.0,0.5,100.0,0.22,33.68,59.26,16.48
2024-07-15 19:37:03,2,20.240000000000002,False,5000,3.78,0.89,3.1,28.82,61.8,6.73,17,120.1,0.33,7.0,0.48,10.0,0.22,26.58,40.64,14.11
2024-07-15 19:37:16,1,20.72,False,5000,0.54,0.84,3.13,16.67,59.3,12.74,13,97.95,150.41,15.0,0.37,97.5,0.22,17.74,23.58,31.24
2024-07-15 19:37:26,2,29.54,False,1000,0.23,1.0,2.89,19.17,61.1,7.14,17,94.73,0.23,7.0,0.44,5.0,0.22,15.88,28.59,29.49
2024-07-15 19:37:42,0,18.34,False,5000,0.33,0.95,3.23,44.68,60.8,25.09,16,116.9,1009.18,25.0,0.86,100.0,0.22,34.41,74.82,10.56
2024-07-15 19:37:52,2,22.020000000000003,False,1000,3.19,0.92,2.39,49.77,68.6,6.67,23,131.58,0.27,7.0,0.61,10.0,0.22,36.32,68.72,16.05
2024-07-15 19:38:06,1,20.1,False,5000,0.45,0.8,2.57,45.64,74,13.93,23,112.63,159.22,15.0,0.44,100.0,0.22,31.09,76.64,25.28
2024-07-15 19:38:15,2,28.26,False,15000,0.17,0.93,12.41,42.89,50,6.88,27,117.05,0.37,7.0,0.49,7.5,0.22,19.76,67.01,31.32
2024-07-15 19:38:29,1,24.76,False,5000,0.02,0.99,2.05,47.34,61.2,18.1,17,94.78,109.63,15.0,0.42,95.0,0.22,28.18,77.63,29.69
2024-07-15 19:38:38,2,26.560000000000002,False,1000,0.62,0.89,2.85,47.03,58,6.41,29,125.05,0.26,7.0,0.59,5.0,0.22,66.55,70.87,31.71
2024-07-15 19:38:54,0,9.5,False,1000,4.85,0.96,3.14,57.97,63,16.28,6,127.27,1009.62,25.0,0.5,100.0,0.22,48.7,73.14,14.29
2024-07-15 19:39:05,2,24.799999999999997,False,1000,1.7,0.91,4.13,51.55,66.7,6.18,25,121.82,0.23,7.0,0.46,17.5,0.22,42.48,77.08,17.61
2024-07-15 19:39:20,1,23.2,False,1000,0.4,0.95,3.4,44.67,70.6,14.44,23,126.63,197.05,15.0,0.53,100.0,0.22,65.0,62.71,20.26
2024-07-15 19:39:30,2,25.380000000000003,False,1000,0.31,0.8,2.71,48.9,57.4,6.88,28,124.85,0.28,7.0,0.59,7.5,0.22,98.05,69.72,25.66
2024-07-15 19:39:47,0,17.68,False,1000,0.36,0.92,2.75,44.8,70.4,24.23,17,123.1,1022.21,25.0,0.56,100.0,0.22,52.71,61.94,11.75
2024-07-15 19:40:11,0,16.380000000000003,False,1000,0.21,0.84,3.08,45.52,88.9,25.18,13,128.05,990.06,0.0,0.63,100.0,0.22,46.51,65.24,2.06
2024-07-15 19:40:21,2,24.76,False,1000,1.02,0.84,3.18,44.69,79.2,7.46,17,91.93,0.24,7.0,0.45,20.0,0.22,30.08,73.79,20.87
2024-07-15 19:40:34,1,19.72,False,1000,2.54,0.99,3.07,40.53,88,15.69,15,133.68,153.94,15.0,0.55,100.0,0.22,36.75,56.15,31.3
2024-07-15 19:40:45,2,25.360000000000003,False,1000,1.52,0.92,3.15,51.65,53.7,7.63,21,129.58,0.19,7.0,0.76,5.0,0.22,39.66,71.31,24.7
